yes	40000	0.9484	10000	9484.0
no	40000	0.8839	10000	8839.0
well	40000	0.8528	10000	8528.0
actually	40000	0.678	10000	6780.0
indeed	40000	0.9944	10000	9944.0
now	40000	0.9984	10000	9984.0
but	40000	0.5031	10000	5031.0
however	40000	0.7814	10000	7814.0
again	40000	0.9606	10000	9606.0
also	40000	0.9992	10000	9992.0
still	39999	0.9973	10000	9973.0
unfortunately	39998	0.7699	10000	7699.0
so	39998	0.1365	10000	1365.0
obviously	39996	0.9701	10000	9701.0
apparently	39991	0.999	10000	9990.0
anyway	39987	0.851	10000	8510.0
yeah	39985	0.8063	10000	8063.0
why	39984	0.6823	10000	6823.0
really	39978	0.4938	10000	4938.0
certainly	39964	0.9742	10000	9742.0
sure	39964	0.4642	10000	4642.0
finally	39917	0.9942	10000	9942.0
surely	39882	0.9109	10000	9109.0
naturally	39851	0.8154	10000	8154.0
okay	39834	0.6346	10000	6346.0
besides	39814	0.9364	10000	9364.0
oh	39706	0.6668	10000	6668.0
and	39698	0.617	10000	6170.0
although	39668	0.7489	10000	7489.0
therefore	39549	0.9288	10000	9288.0
true	39406	0.3154	10000	3154.0
hell	39406	0.8386	10000	8386.0
clearly	39368	0.9636	10000	9636.0
yet	39304	0.0639	10000	639.0
honestly	39280	0.7304	10000	7304.0
sometimes	39120	0.9886	10000	9886.0
granted	39051	0.8682	10000	8682.0
then	39037	0.9536	10000	9536.0
sadly	38883	0.9558	10000	9558.0
nevertheless	38621	0.9994	10000	9994.0
perhaps	38348	0.9135	10000	9135.0
ah	37733	0.9177	10000	9177.0
fortunately	37429	0.9481	10000	9481.0
technically	37095	0.7126	10000	7126.0
ok	36806	0.3974	10000	3974.0
suddenly	36104	0.6612	10000	6612.0
look	36092	0.5568	10000	5568.0
otherwise	35943	0.735	10000	7350.0
maybe	35768	0.5242	10000	5242.0
definitely	35632	0.9633	10000	9633.0
hmm	35353	0.972	10000	9720.0
truly	34570	0.8104	10000	8104.0
frankly	34508	0.9261	10000	9261.0
please	34368	0.9469	10000	9469.0
only	34333	0.3533	10000	3533.0
um	34297	0.2967	10000	2967.0
sir	34277	0.5497	10000	5497.0
instead	34256	0.8185	10000	8185.0
aye	34180	0.9879	10000	9879.0
or	33978	0.368	10000	3680.0
see	33830	0.8598	10000	8598.0
personally	33819	0.6636	10000	6636.0
because	33623	0.1005	10000	1005.0
nah	33619	0.9783	10000	9783.0
yep	33348	0.8736	10000	8736.0
basically	32444	0.9876	10000	9876.0
somehow	32167	0.8556	10000	8556.0
though	32095	0.5168	10000	5168.0
usually	31665	0.6626	10000	6626.0
absolutely	30953	0.905	10000	9050.0
nay	30247	0.8929	10000	8929.0
nope	30115	0.893	10000	8930.0
physically	29898	0.4824	10000	4824.0
plus	29844	0.9102	10000	9102.0
first	29713	0.7985	10000	7985.0
god	29367	0.7249	10000	7249.0
overall	29072	0.8068	10000	8068.0
furthermore	28289	0.9942	10000	9942.0
here	28052	0.2645	10000	2645.0
hopefully	27577	0.9207	10000	9207.0
regardless	26562	0.9765	10000	9765.0
nonetheless	26243	0.9994	10000	9994.0
mostly	25461	0.9934	10000	9934.0
damn	25275	0.5671	10000	5671.0
