supposedly	10743	304
thanks	4283	304
say	2360	304
frequently	4703	282
awe	15180	278
bloody	6703	276
arguably	15835	274
outside	2648	273
daniel	3817	267
sam	3520	261
ben	3841	249
paul	2703	249
red	2417	245
amy	6864	244
most	2087	226
simon	4079	225
third	2353	220
someday	13834	208
since	2144	205
women	2308	203
positive	3893	200
david	2585	196
grace	4519	187
,	1010	185
wonderful	6919	175
oddly	15056	174
excellent	6581	170
lately	9906	170
ara	19027	168
julian	6426	166
sweetheart	12074	163
whoa	23281	163
ruth	7920	159
rachel	5586	157
children	2336	156
alternately	23554	153
negative	4997	147
billy	5006	142
jennie	27557	140
slowly	3254	137
chloe	9318	135
curiously	16484	134
mommy	20565	132
practically	8134	130
honest	7481	129
inevitably	21268	126
meanwhile	5564	122
madame	10602	120
sarah	4532	119
richard	2957	119
kids	4268	118
beautiful	3376	117
ladies	6456	116
plainly	24250	114
laura	6874	114
together	2362	114
mama	9588	113
anna	4698	110
once	2320	109
historically	7145	108
lisa	7059	107
christian	3017	105
think	2228	102
hi	7632	101
answer	3437	100
shoot	5607	99
pray	11839	96
lo	8840	93
politically	10317	87
geographically	20969	84
poor	3532	83
jared	8334	81
fact	2755	81
george	2577	81
musically	21385	81
awesome	12476	80
beth	7014	74
josh	6498	73
likely	3497	73
another	2178	72
is	2003	70
imagine	5674	65
it	2009	64
nate	8253	63
both	2119	63
importantly	14780	62
incredible	9788	61
n	1050	61
suppose	6814	61
ethan	6066	59
savannah	10891	56
abby	9460	55
dimitri	15953	55
maggie	8538	53
doctor	3460	53
immediately	3202	51
later	2101	50
genetically	19345	50
heaven	6014	49
this	2023	47
darkness	4768	47
presently	12825	46
internationally	7587	46
significantly	6022	45
-	1011	45
bullshit	14636	44
jay	6108	42
jackson	4027	42
commander	3474	42
henry	2888	40
snow	4586	40
as	2004	40
lastly	22267	39
altogether	10462	38
em	7861	38
globally	16452	38
initially	3322	37
economically	15318	37
invariably	26597	36
nationally	9582	35
everything	2673	34
stil	25931	33
vampire	4393	33
simple	3722	32
bam	25307	31
elsewhere	6974	29
ty	5939	29
zachary	19474	29
damned	9636	29
nowhere	7880	28
jenny	8437	28
visually	17453	28
which	2029	27
instantly	6880	27
worldwide	4969	27
how	2129	26
bitch	7743	26
subsequently	3525	26
desperately	9652	25
charles	2798	25
fundamentally	24670	24
theorem	9872	24
whether	3251	24
dog	3899	24
blood	2668	24
claire	6249	23
ash	6683	23
joseph	3312	23
formally	6246	22
marina	9985	22
tony	4116	21
everyone	3071	21
note	3602	21
hon	10189	20
fire	2543	20
else	2842	19
miss	3335	19
elizabeth	3870	18
william	2520	18
na	6583	18
mark	2928	17
sky	3712	17
yourself	4426	17
ivy	7768	16
matt	4717	16
terrible	6659	16
perfectly	6669	16
assuming	10262	15
garrett	9674	15
brother	2567	15
quickly	2855	15
colonel	4327	15
admiral	5902	15
mean	2812	14
strictly	9975	14
heather	9533	14
abruptly	9225	14
do	2079	14
wrong	3308	14
candace	22905	13
logan	6307	13
thereafter	6920	13
aaron	7158	13
fiona	13073	13
eyes	2159	13
almighty	26668	12
ella	11713	12
president	2343	12
hades	23003	11
traditionally	6964	11
rose	3123	11
informally	21858	10
overhead	8964	10
lil	13451	10
beloved	11419	10
blast	8479	10
2	1016	9
hunter	4477	9
sara	7354	9
her	2014	9
beauty	5053	9
critically	11321	9
two	2048	9
rain	4542	9
nick	4172	8
caleb	10185	8
sydney	3994	8
jenna	13504	8
janet	9965	8
matthew	5487	8
much	2172	8
ya	8038	7
gorgeous	9882	7
warrior	6750	7
cassie	8869	7
unbelievable	23653	7
marcus	6647	7
strange	4326	7
water	2300	7
explicitly	12045	7
truth	3606	6
happy	3407	6
luke	5355	6
ari	10488	6
chris	3782	6
culturally	20547	6
socially	14286	6
vaguely	15221	6
nobody	6343	6
fates	26417	5
figures	4481	5
downstairs	10025	5
other	2060	5
notably	5546	5
broadly	13644	5
bill	3021	5
jason	4463	5
)	1007	5
assume	7868	5
opposite	4500	5
vampires	6144	5
go	2175	4
something	2242	4
hope	3246	4
congratulations	23156	4
rowan	14596	4
raven	10000	4
afterwards	5728	4
while	2096	4
cale	21854	4
humans	4286	4
comparatively	20172	4
equally	8053	4
sea	2712	4
commonly	4141	4
demon	5698	4
bastard	8444	3
nat	14085	3
sweetie	22872	3
proof	6947	3
leo	6688	3
taylor	4202	3
sunshine	9609	3
emily	6253	3
[UNK]	100	3
coincidentally	27542	3
babies	10834	3
belle	9852	3
olivia	7710	3
things	2477	3
lieutenant	3812	3
drew	3881	3
victoria	3848	3
consistently	10862	3
mind	2568	3
fear	3571	3
lad	14804	3
above	2682	3
roger	5074	3
twice	3807	3
jennifer	7673	3
properly	7919	3
boss	5795	3
lissa	20244	3
sweet	4086	2
cara	14418	2
everywhere	7249	2
angel	4850	2
bella	12101	2
maddie	17805	2
perfect	3819	2
sergeant	6722	2
chief	2708	2
dead	2757	2
nationwide	9053	2
statewide	13486	2
thought	2245	2
fourth	2959	2
very	2200	2
master	3040	2
jeff	5076	2
ava	10927	2
katie	9734	2
trey	14826	2
katherine	9477	2
charlotte	5904	2
huge	4121	2
lake	2697	2
combined	4117	2
provided	3024	2
storms	12642	2
stop	2644	2
y	1061	2
professor	2934	2
jax	13118	2
fool	7966	2
meredith	10635	2
mara	13955	2
mikhail	11318	2
merlin	15993	2
brian	4422	1
next	2279	1
kira	15163	1
ryder	11731	1
remarkably	17431	1
johnny	5206	1
chicks	20649	1
privately	9139	1
etc	4385	1
previously	3130	1
commercially	11088	1
federally	20892	1
mainly	3701	1
stunning	14726	1
friends	2814	1
lark	23404	1
guess	3984	1
reportedly	7283	1
professionally	12145	1
deeply	6171	1
doubtful	21888	1
sleep	3637	1
guy	3124	1
grandpa	15310	1
repeatedly	8385	1
sally	8836	1
reality	4507	1
blake	6511	1
alexander	3656	1
meg	12669	1
indoors	24274	1
hail	16889	1
summer	2621	1
terrified	10215	1
primarily	3952	1
lads	29126	1
team	2136	1
teams	2780	1
inland	9514	1
ow	27593	1
pete	6969	1
faintly	18587	1
evan	9340	1
idiot	10041	1
dante	9649	1
mistress	10414	1
helena	10269	1
prince	3159	1
el	3449	1
instinctively	16607	1
helen	6330	1
effectively	6464	1
scott	3660	1
emotionally	14868	1
be	2022	1
